Date,Open,High,Low,Close
2020-01-02,0.70073,0.70199,0.69788,0.69833
2020-01-03,0.69843,0.69867,0.69305,0.69541
2020-01-06,0.69368,0.69578,0.69255,0.69387
2020-01-07,0.69387,0.69393,0.68592,0.6868
2020-01-08,0.68681,0.68855,0.68492,0.68654
2020-01-09,0.68653,0.68805,0.68504,0.68536
2020-01-10,0.68539,0.69109,0.68509,0.69063
2020-01-13,0.68982,0.69199,0.6895,0.69016
2020-01-14,0.69016,0.69094,0.68853,0.68997
2020-01-15,0.69,0.6917,0.68775,0.69035
2020-01-16,0.69034,0.69338,0.68881,0.68974
2020-01-17,0.68973,0.69111,0.68722,0.68759
2020-01-20,0.68764,0.68887,0.68552,0.68732
2020-01-21,0.68732,0.68806,0.68425,0.68425
2020-01-22,0.68429,0.68563,0.68271,0.6842
2020-01-23,0.6842,0.68788,0.68298,0.68421
2020-01-24,0.68421,0.68573,0.68178,0.68235
2020-01-27,0.68161,0.6817,0.67525,0.67599
2020-01-28,0.67597,0.67656,0.67374,0.67595
2020-01-29,0.67595,0.67774,0.67354,0.67477
2020-01-30,0.67482,0.67552,0.67004,0.67189
2020-01-31,0.67189,0.67295,0.66829,0.66938
2020-02-03,0.66848,0.6707,0.66839,0.66899
2020-02-04,0.66899,0.67425,0.66793,0.67403
2020-02-05,0.67401,0.67742,0.67239,0.67466
2020-02-06,0.67466,0.67647,0.67273,0.67336
2020-02-07,0.67323,0.67361,0.66624,0.66766
2020-02-10,0.6674,0.67074,0.66666,0.66847
2020-02-11,0.66848,0.67367,0.66826,0.67148
2020-02-12,0.6715,0.67499,0.67127,0.67345
2020-02-13,0.67345,0.67447,0.67071,0.67169
2020-02-14,0.67167,0.67308,0.67094,0.67126
2020-02-17,0.67188,0.67335,0.67118,0.67125
2020-02-18,0.67125,0.67139,0.6674,0.66873
2020-02-19,0.66872,0.67074,0.66654,0.66766
2020-02-20,0.66766,0.66939,0.66107,0.66124
2020-02-21,0.66122,0.6639,0.6586,0.66269
2020-02-24,0.65959,0.66197,0.65874,0.66001
2020-02-25,0.66001,0.66224,0.65865,0.65997
2020-02-26,0.65997,0.66069,0.65428,0.65478
2020-02-27,0.65477,0.65919,0.65438,0.65741
2020-02-28,0.6574,0.65854,0.64367,0.65139
2020-03-02,0.64842,0.6568,0.64834,0.65339
2020-03-03,0.65339,0.66445,0.65096,0.65838
2020-03-04,0.65837,0.66276,0.65774,0.66216
2020-03-05,0.6621,0.66368,0.65843,0.66131
2020-03-06,0.66134,0.66572,0.65855,0.66371
2020-03-09,0.66091,0.6685,0.63157,0.66076
2020-03-10,0.66074,0.66084,0.64629,0.65077
2020-03-11,0.65076,0.65393,0.64731,0.64812
2020-03-12,0.64813,0.64869,0.62135,0.62855
2020-03-13,0.62858,0.63229,0.61236,0.6199
2020-03-16,0.61678,0.62189,0.60792,0.61217
2020-03-17,0.61217,0.6149,0.59595,0.59861
2020-03-18,0.5986,0.60271,0.57031,0.57922
2020-03-19,0.57928,0.59631,0.55102,0.56716
2020-03-20,0.56688,0.59843,0.56688,0.58063
2020-03-23,0.57159,0.58431,0.57007,0.58431
2020-03-24,0.58428,0.599,0.58299,0.59778
2020-03-25,0.59773,0.60732,0.58945,0.58979
2020-03-26,0.58982,0.60874,0.58706,0.60368
2020-03-27,0.60367,0.62,0.60236,0.61677
2020-03-30,0.61525,0.61843,0.61135,0.61671
2020-03-31,0.61671,0.62132,0.60815,0.6158
2020-04-01,0.61575,0.61729,0.60397,0.60668
2020-04-02,0.60695,0.61192,0.60074,0.60608
2020-04-03,0.60604,0.60756,0.59802,0.59937
2020-04-06,0.59986,0.61054,0.59912,0.60825
2020-04-07,0.60826,0.6208,0.60761,0.61703
2020-04-08,0.61704,0.62417,0.6116,0.62341
2020-04-09,0.62341,0.63591,0.61957,0.63329
2020-04-13,0.63517,0.64087,0.63269,0.63826
2020-04-14,0.63824,0.64449,0.63756,0.6442
2020-04-15,0.64421,0.64438,0.62848,0.63216
2020-04-16,0.63216,0.6369,0.62649,0.63589
2020-04-17,0.63578,0.63848,0.6315,0.63643
2020-04-20,0.6366,0.63973,0.6331,0.63315
2020-04-21,0.63317,0.6347,0.62537,0.62864
2020-04-22,0.62864,0.63512,0.6277,0.63216
2020-04-23,0.63215,0.64053,0.62831,0.6373
2020-04-24,0.63732,0.63896,0.63375,0.63881
2020-04-27,0.63876,0.64718,0.63826,0.64652
2020-04-28,0.64651,0.6514,0.64344,0.64897
2020-04-29,0.649,0.656,0.649,0.65569
2020-04-30,0.65569,0.65698,0.64904,0.65021
2020-05-01,0.65021,0.65057,0.64104,0.64215
2020-05-04,0.64051,0.64347,0.63729,0.6426
2020-05-05,0.64258,0.64762,0.64177,0.6429
2020-05-06,0.6429,0.64529,0.63938,0.63966
2020-05-07,0.63966,0.65058,0.63788,0.64945
2020-05-08,0.64945,0.65481,0.64937,0.65309
2020-05-11,0.65237,0.65612,0.64575,0.64906
2020-05-12,0.64906,0.65346,0.64329,0.64767
2020-05-13,0.64768,0.65243,0.64385,0.64546
2020-05-14,0.64546,0.64685,0.64037,0.64641
2020-05-15,0.64643,0.64737,0.64023,0.64149
2020-05-18,0.64132,0.65274,0.64131,0.65167
2020-05-19,0.65169,0.65842,0.65101,0.65308
2020-05-20,0.65307,0.6616,0.65254,0.65958
2020-05-21,0.65955,0.65982,0.6549,0.65608
2020-05-22,0.65603,0.65725,0.65062,0.65369
2020-05-25,0.65317,0.65504,0.65204,0.65403
2020-05-26,0.65405,0.66751,0.65379,0.6647
2020-05-27,0.66471,0.668,0.65713,0.66169
2020-05-28,0.66167,0.66674,0.65884,0.66202
2020-05-29,0.66202,0.66827,0.66189,0.6665
2020-06-01,0.66637,0.68138,0.66489,0.68007
2020-06-02,0.68007,0.68983,0.6775,0.68891
2020-06-03,0.68891,0.69834,0.68567,0.69225
2020-06-04,0.69225,0.69874,0.68827,0.694
2020-06-05,0.69406,0.70129,0.69309,0.6964
2020-06-08,0.69752,0.70291,0.6962,0.70151
