Date,Open,High,Low,Close
2020-01-02,108.686,108.865,108.214,108.549
2020-01-03,108.547,108.631,107.851,108.101
2020-01-06,107.806,108.505,107.774,108.378
2020-01-07,108.378,108.628,108.263,108.458
2020-01-08,108.459,109.244,107.651,109.078
2020-01-09,109.078,109.582,109.013,109.48
2020-01-10,109.478,109.688,109.437,109.5
2020-01-13,109.538,109.947,109.534,109.934
2020-01-14,109.935,110.2,109.862,109.988
2020-01-15,109.987,110.001,109.79,109.887
2020-01-16,109.887,110.186,109.856,110.178
2020-01-17,110.178,110.291,110.051,110.149
2020-01-20,110.136,110.218,110.1165,110.176
2020-01-21,110.175,110.222,109.764,109.856
2020-01-22,109.857,110.089,109.808,109.832
2020-01-23,109.8315,109.8405,109.269,109.529
2020-01-24,109.53,109.65,109.173,109.282
2020-01-27,108.913,109.135,108.734,108.918
2020-01-28,108.918,109.266,108.762,109.241
2020-01-29,109.241,109.254,108.98,109.014
2020-01-30,109.01,109.064,108.5845,108.934
2020-01-31,108.9355,109.134,108.3135,108.3575
2020-02-03,108.339,108.799,108.328,108.666
2020-02-04,108.667,109.545,108.551,109.47
2020-02-05,109.459,109.847,109.307,109.799
2020-02-06,109.803,110.025,109.779,109.988
2020-02-07,109.987,110.017,109.534,109.759
2020-02-10,109.72,109.879,109.563,109.759
2020-02-11,109.763,109.961,109.728,109.789
2020-02-12,109.788,110.133,109.788,110.083
2020-02-13,110.083,110.087,109.621,109.819
2020-02-14,109.82,109.902,109.7,109.782
2020-02-17,109.783,109.961,109.72,109.862
2020-02-18,109.863,109.947,109.662,109.867
2020-02-19,109.866,111.5925,109.86,111.247
2020-02-20,111.247,112.221,111.113,112.05
2020-02-21,112.052,112.1855,111.49,111.601
2020-02-24,111.445,111.683,110.335,110.679
2020-02-25,110.676,111.041,109.894,110.208
2020-02-26,110.209,110.7,110.131,110.424
2020-02-27,110.426,110.457,109.335,109.541
2020-02-28,109.5415,109.6815,107.511,107.913
2020-03-02,107.403,108.577,107.403,108.284
2020-03-03,108.282,108.533,106.944,107.155
2020-03-04,107.155,107.683,106.851,107.544
2020-03-05,107.547,107.736,105.979,106.189
2020-03-06,106.162,106.343,104.995,105.475
2020-03-09,103.717,104.263,101.2,102.439
2020-03-10,102.443,105.922,102.402,105.0995
2020-03-11,105.1005,105.319,104.117,104.732
2020-03-12,104.732,106.086,103.096,104.792
2020-03-13,104.796,108.5025,104.51,107.609
2020-03-16,106.412,107.557,105.1515,106.271
2020-03-17,106.28,107.8615,106.0825,107.256
2020-03-18,107.252,108.653,106.757,108.011
2020-03-19,108.013,110.954,107.993,110.861
2020-03-20,110.861,111.505,109.336,110.766
2020-03-23,111.077,111.591,109.671,110.985
2020-03-24,110.987,111.71,110.095,111.202
2020-03-25,111.204,111.674,110.755,111.015
2020-03-26,111.017,111.038,109.21,109.333
2020-03-27,109.34,109.393,107.761,107.968
2020-03-30,107.7505,108.292,107.125,107.846
2020-03-31,107.846,108.729,107.4625,107.526
2020-04-01,107.532,107.942,106.925,107.134
2020-04-02,107.107,108.09,107.022,107.859
2020-04-03,107.873,108.674,107.816,108.419
