time,open,high,low,close,tick_volume,spread,real_volume
2025-01-31 10:15:00,96.369,96.377,96.232,96.297,818,26,0
2025-01-31 10:30:00,96.298,96.353,96.228,96.239,697,26,0
2025-01-31 10:45:00,96.238,96.25,96.167,96.17,625,21,0
2025-01-31 11:00:00,96.135,96.219,96.103,96.185,1022,26,0
2025-01-31 11:15:00,96.19,96.192,96.122,96.177,730,21,0
2025-01-31 11:30:00,96.179,96.219,96.177,96.208,710,26,0
2025-01-31 11:45:00,96.209,96.277,96.182,96.276,603,26,0
2025-01-31 12:00:00,96.278,96.292,96.194,96.201,632,26,0
2025-01-31 12:15:00,96.204,96.248,96.203,96.234,583,9,0
2025-01-31 12:30:00,96.235,96.238,96.182,96.211,618,26,0
2025-01-31 12:45:00,96.21,96.229,96.125,96.128,527,26,0
2025-01-31 13:00:00,96.127,96.149,96.073,96.075,540,26,0
2025-01-31 13:15:00,96.076,96.089,96.022,96.06,581,26,0
2025-01-31 13:30:00,96.061,96.15,96.044,96.135,626,26,0
2025-01-31 13:45:00,96.135,96.191,96.1,96.184,580,26,0
2025-01-31 14:00:00,96.184,96.235,96.169,96.211,647,26,0
2025-01-31 14:15:00,96.212,96.264,96.201,96.241,534,26,0
2025-01-31 14:30:00,96.241,96.249,96.197,96.228,605,26,0
2025-01-31 14:45:00,96.228,96.253,96.203,96.24,566,26,0
2025-01-31 15:00:00,96.246,96.372,96.229,96.347,870,26,0
2025-01-31 15:15:00,96.347,96.364,96.267,96.267,786,26,0
2025-01-31 15:30:00,96.267,96.382,96.25,96.286,1018,26,0
2025-01-31 15:45:00,96.286,96.298,96.239,96.279,871,26,0
2025-01-31 16:00:00,96.279,96.283,96.223,96.255,795,26,0
2025-01-31 16:15:00,96.255,96.288,96.231,96.266,839,26,0
2025-01-31 16:30:00,96.268,96.273,96.12,96.156,861,26,0
2025-01-31 16:45:00,96.162,96.186,96.096,96.126,872,21,0
2025-01-31 17:00:00,96.126,96.247,96.109,96.22,1041,26,0
2025-01-31 17:15:00,96.221,96.295,96.193,96.266,973,26,0
2025-01-31 17:30:00,96.268,96.503,96.262,96.479,973,25,0
2025-01-31 17:45:00,96.48,96.609,96.474,96.555,1106,26,0
2025-01-31 18:00:00,96.558,96.58,96.518,96.542,1023,26,0
2025-01-31 18:15:00,96.538,96.613,96.521,96.613,765,26,0
2025-01-31 18:30:00,96.615,96.753,96.615,96.693,787,26,0
2025-01-31 18:45:00,96.694,96.694,96.639,96.663,596,26,0
2025-01-31 19:00:00,96.663,96.92,96.549,96.852,1058,26,0
2025-01-31 19:15:00,96.849,96.852,96.756,96.852,1152,26,0
2025-01-31 19:30:00,96.854,96.896,96.804,96.813,884,26,0
2025-01-31 19:45:00,96.814,96.819,96.737,96.802,900,26,0
2025-01-31 20:00:00,96.801,96.857,96.778,96.835,707,26,0
2025-01-31 20:15:00,96.835,96.861,96.507,96.564,1225,26,0
2025-01-31 20:30:00,96.549,96.573,96.363,96.463,1352,26,0
2025-01-31 20:45:00,96.462,96.531,96.438,96.465,1071,26,0
2025-01-31 21:00:00,96.463,96.481,96.301,96.368,995,26,0
2025-01-31 21:15:00,96.365,96.383,96.27,96.329,792,26,0
2025-01-31 21:30:00,96.33,96.398,96.303,96.307,777,26,0
2025-01-31 21:45:00,96.307,96.467,96.25,96.406,961,26,0
2025-01-31 22:00:00,96.4,96.437,96.352,96.396,879,26,0
2025-01-31 22:15:00,96.4,96.411,96.348,96.395,787,26,0
2025-01-31 22:30:00,96.393,96.483,96.383,96.475,913,26,0
2025-01-31 22:45:00,96.476,96.512,96.359,96.365,1137,26,0
2025-01-31 23:00:00,96.354,96.446,96.246,96.261,1030,22,0
2025-01-31 23:15:00,96.259,96.426,96.259,96.417,738,26,0
2025-01-31 23:30:00,96.417,96.417,96.285,96.316,729,26,0
2025-01-31 23:45:00,96.316,96.418,96.288,96.35,566,26,0
2025-02-03 00:00:00,95.181,95.484,95.127,95.466,207,99,0
2025-02-03 00:15:00,95.467,95.547,95.371,95.406,94,79,0
2025-02-03 00:30:00,95.352,95.403,95.309,95.385,113,66,0
2025-02-03 00:45:00,95.376,95.546,95.301,95.349,251,58,0
2025-02-03 01:00:00,95.323,95.625,95.255,95.607,1056,28,0
2025-02-03 01:15:00,95.612,95.614,95.417,95.443,945,26,0
2025-02-03 01:30:00,95.449,95.495,95.358,95.408,727,26,0
2025-02-03 01:45:00,95.402,95.493,95.301,95.401,849,26,0
2025-02-03 02:00:00,95.409,95.67,95.363,95.581,1106,26,0
2025-02-03 02:15:00,95.589,95.591,95.261,95.344,1310,26,0
2025-02-03 02:30:00,95.337,95.536,95.337,95.402,1085,26,0
2025-02-03 02:45:00,95.402,95.499,95.142,95.253,1233,26,0
2025-02-03 03:00:00,95.238,95.447,95.188,95.433,1140,26,0
2025-02-03 03:15:00,95.434,95.535,95.341,95.508,1013,26,0
2025-02-03 03:30:00,95.506,95.554,95.342,95.369,956,26,0
2025-02-03 03:45:00,95.369,95.406,95.191,95.216,997,26,0
2025-02-03 04:00:00,95.214,95.227,94.843,95.017,1176,26,0
2025-02-03 04:15:00,95.016,95.112,94.977,95.008,889,26,0
2025-02-03 04:30:00,95.01,95.016,94.775,94.791,920,26,0
2025-02-03 04:45:00,94.797,94.838,94.675,94.802,873,21,0
2025-02-03 05:00:00,94.806,94.811,94.72,94.758,768,26,0
2025-02-03 05:15:00,94.758,94.865,94.713,94.86,747,26,0
2025-02-03 05:30:00,94.862,94.928,94.791,94.865,716,26,0
2025-02-03 05:45:00,94.865,94.928,94.835,94.906,591,26,0
2025-02-03 06:00:00,94.905,95.309,94.898,95.226,1178,26,0
2025-02-03 06:15:00,95.228,95.234,95.034,95.109,699,26,0
2025-02-03 06:30:00,95.11,95.188,95.05,95.159,716,26,0
2025-02-03 06:45:00,95.161,95.236,95.145,95.222,631,27,0
2025-02-03 07:00:00,95.227,95.239,95.147,95.224,697,27,0
2025-02-03 07:15:00,95.227,95.256,95.169,95.192,643,26,0
2025-02-03 07:30:00,95.191,95.2,95.096,95.096,702,26,0
2025-02-03 07:45:00,95.095,95.239,95.087,95.213,676,26,0
2025-02-03 08:00:00,95.213,95.295,95.17,95.29,745,26,0
2025-02-03 08:15:00,95.29,95.311,95.198,95.276,710,26,0
