time,open,high,low,close,tick_volume,spread,real_volume
2025-01-31 10:15:00,0.83633,0.83634,0.8361,0.83619,337,15,0
2025-01-31 10:30:00,0.8362,0.83645,0.83619,0.83636,353,15,0
2025-01-31 10:45:00,0.83636,0.83662,0.83624,0.83646,367,15,0
2025-01-31 11:00:00,0.83626,0.83633,0.83565,0.8357,740,13,0
2025-01-31 11:15:00,0.83571,0.83584,0.83559,0.8356,400,13,0
2025-01-31 11:30:00,0.83557,0.83587,0.83555,0.83587,364,13,0
2025-01-31 11:45:00,0.83586,0.83611,0.83571,0.83588,341,15,0
2025-01-31 12:00:00,0.83585,0.83586,0.83553,0.83555,387,15,0
2025-01-31 12:15:00,0.83554,0.83575,0.83549,0.83549,269,0,0
2025-01-31 12:30:00,0.83551,0.83569,0.83543,0.83568,301,14,0
2025-01-31 12:45:00,0.83569,0.83597,0.83549,0.83561,380,15,0
2025-01-31 13:00:00,0.83561,0.83577,0.83552,0.8357,292,15,0
2025-01-31 13:15:00,0.83571,0.83609,0.83562,0.83603,370,13,0
2025-01-31 13:30:00,0.83604,0.83629,0.83598,0.83624,339,13,0
2025-01-31 13:45:00,0.83623,0.83624,0.83577,0.83605,295,13,0
2025-01-31 14:00:00,0.83606,0.83627,0.83575,0.83575,322,13,0
2025-01-31 14:15:00,0.83574,0.83609,0.83573,0.83594,275,15,0
2025-01-31 14:30:00,0.83594,0.836,0.83561,0.8358,297,13,0
2025-01-31 14:45:00,0.8358,0.83588,0.83557,0.83581,281,0,0
2025-01-31 15:00:00,0.83584,0.83627,0.83569,0.83623,472,15,0
2025-01-31 15:15:00,0.83623,0.83644,0.83603,0.83609,490,15,0
2025-01-31 15:30:00,0.83619,0.83643,0.83599,0.83633,597,15,0
2025-01-31 15:45:00,0.83633,0.8364,0.83606,0.83629,468,15,0
2025-01-31 16:00:00,0.83628,0.83641,0.83614,0.83631,498,15,0
2025-01-31 16:15:00,0.83632,0.83683,0.83629,0.83683,485,13,0
2025-01-31 16:30:00,0.83683,0.83706,0.83639,0.83649,487,15,0
2025-01-31 16:45:00,0.83651,0.83685,0.83634,0.83649,600,13,0
2025-01-31 17:00:00,0.8365,0.83651,0.83582,0.83602,494,13,0
2025-01-31 17:15:00,0.83604,0.83611,0.83575,0.8358,459,13,0
2025-01-31 17:30:00,0.83579,0.83626,0.83556,0.83626,571,13,0
2025-01-31 17:45:00,0.8363,0.83694,0.83608,0.83663,689,15,0
2025-01-31 18:00:00,0.83664,0.83683,0.83645,0.83657,620,15,0
2025-01-31 18:15:00,0.83658,0.83663,0.83616,0.83624,420,16,0
2025-01-31 18:30:00,0.83623,0.83625,0.83538,0.83541,467,13,0
2025-01-31 18:45:00,0.83544,0.83572,0.83543,0.83555,353,15,0
2025-01-31 19:00:00,0.83554,0.83661,0.83553,0.83648,706,15,0
2025-01-31 19:15:00,0.83649,0.83665,0.83616,0.83662,676,15,0
2025-01-31 19:30:00,0.83663,0.83664,0.83614,0.8363,584,15,0
2025-01-31 19:45:00,0.8363,0.83668,0.83617,0.8366,553,15,0
2025-01-31 20:00:00,0.83659,0.83669,0.8362,0.83624,376,15,0
2025-01-31 20:15:00,0.83625,0.83653,0.8361,0.83624,796,15,0
2025-01-31 20:30:00,0.83624,0.83675,0.83608,0.83658,782,15,0
2025-01-31 20:45:00,0.83657,0.83667,0.83631,0.83645,591,15,0
2025-01-31 21:00:00,0.83646,0.83675,0.83639,0.83645,547,15,0
2025-01-31 21:15:00,0.83646,0.83659,0.83634,0.83635,457,15,0
2025-01-31 21:30:00,0.83634,0.83648,0.83619,0.83648,394,15,0
2025-01-31 21:45:00,0.83648,0.83668,0.83642,0.83668,476,15,0
2025-01-31 22:00:00,0.83668,0.83686,0.8366,0.83677,436,15,0
2025-01-31 22:15:00,0.83678,0.83678,0.83649,0.8366,359,15,0
2025-01-31 22:30:00,0.8366,0.8367,0.83653,0.83655,320,16,0
2025-01-31 22:45:00,0.83655,0.83662,0.83629,0.8365,545,15,0
2025-01-31 23:00:00,0.83651,0.83684,0.8354,0.83555,838,13,0
2025-01-31 23:15:00,0.83555,0.83609,0.83554,0.83598,394,0,0
2025-01-31 23:30:00,0.836,0.83606,0.83558,0.83583,378,1,0
2025-01-31 23:45:00,0.83582,0.8361,0.83555,0.836,568,17,0
2025-02-03 00:00:00,0.8325,0.833,0.83045,0.83242,316,28,0
2025-02-03 00:15:00,0.83242,0.83242,0.83184,0.83193,314,57,0
2025-02-03 00:30:00,0.83193,0.83257,0.83187,0.83231,188,69,0
2025-02-03 00:45:00,0.8324,0.83296,0.83194,0.83196,300,26,0
