time,open,high,low,close,tick_volume,spread,real_volume
2021-02-01 00:00:00,1.06338,1.06439,1.06209,1.06359,571,37,0
2021-02-01 01:00:00,1.0636,1.0641,1.06292,1.06363,2249,21,0
2021-02-01 02:00:00,1.06363,1.06409,1.06315,1.06357,1830,18,0
2021-02-01 03:00:00,1.06357,1.06379,1.06248,1.0626,2626,16,0
2021-02-01 04:00:00,1.06262,1.06292,1.06256,1.06271,2034,20,0
2021-02-01 05:00:00,1.06271,1.06285,1.06241,1.06243,1606,18,0
2021-02-01 06:00:00,1.06243,1.06327,1.06225,1.06325,1733,18,0
2021-02-01 07:00:00,1.06327,1.06422,1.06315,1.06402,2031,17,0
2021-02-01 08:00:00,1.06402,1.06427,1.06353,1.06385,1811,17,0
2021-02-01 09:00:00,1.06385,1.06434,1.06358,1.06379,2822,19,0
2021-02-01 10:00:00,1.06379,1.06412,1.06243,1.0625,3925,18,0
2021-02-01 11:00:00,1.06248,1.06385,1.06246,1.06379,3353,19,0
2021-02-01 12:00:00,1.06382,1.06384,1.06293,1.06317,2968,19,0
2021-02-01 13:00:00,1.06318,1.06416,1.06285,1.06403,2686,17,0
2021-02-01 14:00:00,1.06404,1.06422,1.06348,1.06376,1808,16,0
2021-02-01 15:00:00,1.06371,1.0641,1.06324,1.06356,3519,16,0
2021-02-01 16:00:00,1.06356,1.06395,1.06241,1.06284,3907,18,0
2021-02-01 17:00:00,1.06284,1.06441,1.06242,1.06434,5514,17,0
2021-02-01 18:00:00,1.06433,1.06453,1.06404,1.06427,4121,19,0
2021-02-01 19:00:00,1.06427,1.06481,1.06423,1.0648,2123,16,0
2021-02-01 20:00:00,1.06479,1.06581,1.06464,1.06566,2530,19,0
2021-02-01 21:00:00,1.06567,1.06618,1.06554,1.06582,2327,19,0
2021-02-01 22:00:00,1.06582,1.06582,1.06465,1.0648,2054,17,0
2021-02-01 23:00:00,1.06481,1.06511,1.06426,1.06443,770,18,0
2021-02-02 00:00:00,1.06453,1.06517,1.06379,1.06509,469,36,0
2021-02-02 01:00:00,1.06509,1.06603,1.06495,1.06539,1090,17,0
2021-02-02 02:00:00,1.06537,1.06693,1.06499,1.06623,1905,16,0
2021-02-02 03:00:00,1.06626,1.06684,1.06602,1.06647,2519,16,0
